S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
66,Piramal Enterp.,47483.97,2858.36
67,United Spirits,46725.05,2263.3
68,Pidilite Inds.,45855.5,1542.9
69,Siemens,44239.04,2429.5
70,Cadila Health.,41876.19,3259.6
71,NMDC,41415.33,2469.03
72,DLF,40159.35,1693.72
73,Marico,39813.84,1337.59
74,Ashok Leyland,39047.57,7113.16
75,Bharat Electron,37776.23,2512.82
76,ICICI Lombard,37219.22,2110.99
77,Lupin,36878.85,3975.62
78,Petronet LNG,36615,7757.06
79,Aditya Birla Cap,36215.92,3325.02
80,Dr Reddy's Labs,35893.55,3834.1
81,Sun TV Network,35824.26,683.28
82,S A I L,35729.04,15323.65
83,UPL,35349.58,4194
84,Oracle Fin.Serv.,34620.19,1059.12
85,Bharat Forge,34397.69,1390.55
86,Biocon,34347,1057.9
87,B H E L,34162.38,6626.35
88,Aurobindo Pharma,33676.52,4336.11
89,Bank of Baroda,33364.23,11303.24
90,Idea Cellular,33047.33,6509.6
91,A B B,31983.33,2779.4
92,Havells India,31798.18,1965.77
93,Container Corpn.,31450.56,1639.55
94,TVS Motor Co.,30919.51,3684.95
95,ACC,30803.68,3494.24
96,Bajaj Holdings,30305.94,317.85
97,P & G Hygiene,30202.12,704.16
98,MRF,30030.01,3798.82
99,Shriram Trans.,29327.64,3087.67
100,Colgate-Palm.,9885.05,1137.17
101,L&T Fin.Holdings,28932.43,2630.17
102,Punjab Natl.Bank,28270.22,12175.48
103,NHPC Ltd,28059.24,1497.93
104,Power Fin.Corpn.,27905.66,6194.77
105,United Breweries,27797.69,1197.1
106,Oil India,27404.15,2852.55
107,Rural Elec.Corp.,27382.24,5498.45
108,GlaxoSmith C H L,27340.89,1034.67
109,M & M Fin. Serv.,26928.37,2182.45
110,Divi's Lab.,26915.86,1037.88
111,Kansai Nerolac,26409.76,1145.01
112,Alkem Lab,25957.56,1422.52
113,LIC Housing Fin.,25880.98,3738.1
114,Future Retail,25859.25,4693.39
115,Page Industries,25383.03,621.03
116,Dalmia Bhar.,25288.97,2090.54
117,IIFL Holdings,24788.54,1612.14
118,L & T Infotech,24626.1,1883.8
119,Aditya Bir. Nuv.,24592.21,4287.12
120,Emami,23720.37,756.64
121,Cummins India,23562,1354.67
122,Berger Paints,23537.8,1338.63
123,Rajesh Exports,23495.54,41304.84
124,Tata Power Co.,23369.24,6949.91
125,3M India,23101.19,645.77
126,Jindal Steel,23094.39,6992.56
127,Edelweiss.Fin.,22915.42,2069.45
128,Gillette India,21976.74,407.52
129,Adani Enterp.,21776.04,9938.37
130,Adani Transmissi,21677.26,1782.29
131,Balkrishna Inds,21372.18,1106.31
132,Cholaman.Inv.&Fn,20832.4,1404.33
133,Indraprastha Gas,20779.52,1183.9
134,M R P L,20750.78,14100.98
135,Glaxosmi. Pharma,20489.35,703.91
136,PNB Housing,20037.85,1438.49
137,RBL Bank,19748.79,1150.79
138,Castrol India,18803.22,970.3
139,Canara Bank,18590.66,10774.64
140,GRUH Finance,18535.09,428.47
141,KIOCL,18534.15,442.81
142,Voltas,18453.44,1374.67
143,Godrej Inds.,18298.09,2458.48
144,Whirlpool India,18254.06,958.01
145,Sundaram Finance,18159.85,677.23
146,Federal Bank,18086.81,2501.2
147,Tata Comm,17963.55,4114.63
148,Endurance Tech.,9885.05,1137.17
149,Tata Chemicals,17941.47,2573.91
150,Exide Inds.,17930.75,2276.54
151,IDFC Bank,17762.77,2283.72
152,NBCC,17712,1321.5
153,IDBI Bank,17559.35,5797.2
154,The Ramco Cement,17246.58,1056.36
155,Dewan Hsg. Fin.,17097.54,2631.6
156,MphasiS,16728.78,1660.69
157,Apollo Hospitals,16683.97,1896.14
158,Reliance Nip.Lif,16655.58,394
159,Tata Global,16589.24,1730.39
160,Godrej Propert.,16545.51,627.03
161,AU Small Finance,16453.67,464.17
162,Indian Hotels,16150.13,1197.26
163,Motil.Oswal.Fin.,16108.15,728.63
164,H U D C O,16065.25,1064.49
165,Oberoi Realty,16044.51,356.2
166,Indian Bank,15739.16,4354.22
167,SJVN,15512.35,436.58
168,Bank of India,15339.87,9334.84
169,Supreme Inds.,15248.94,1278.3
170,Muthoot Finance,15226.72,1553.71
171,NLC India,15201.61,1706.48
172,Info Edg.(India),14845.05,1137.17
173,Glenmark Pharma.,14785.53,2203.67
174,Jubilant Life,14775.08,2067.76
175,Crompton Gr. Con,14638.57,938.19
176,Honeywell Auto,14526.24,721.48
177,Natco Pharma,14456.9,562.2
178,PC Jeweller,14334.81,2644.89
179,Quess Corp,14330.19,1583.95
180,CRISIL,14164.81,441.13
181,WABCO India,13843.64,649.91
182,Amara Raja Batt.,13774.32,1553.46
183,Sterlite Tech.,13743.95,835.18
184,AIA Engg.,13593.35,572.16
185,KRBL,13492.55,783.51
186,Max Financial,13401.76,1137.17
187,Indiabulls Vent.,13396.15,238.43
188,Century Textiles,13369.97,2069.39
189,Jubilant Food.,13178.43,795.17
190,Bayer Crop Sci.,13166.76,562.2
191,Graphite India,13129.9,933.06
192,JSW Energy,13104,1993.2
193,Central Bank,13046.18,6026.55
194,Natl. Aluminium,9885.05,1137.17
195,CESC,12996.56,1706
196,Shri.City Union.,12995.31,1338.09
197,L&T Technology,12942.25,969.1
198,Rain Industries,12655.17,3050.81
199,Torrent Power,12599.37,2754.64
200,Dilip Buildcon,12526.06,1942.12
201,TI Financial,12507.91,886.68
202,JM Financial,12382.64,837.73
203,Adani Power,12091.5,4844.46
204,Reliance Power,12033.99,2494.65
205,Reliance Capital,11966.83,4749
206,Syngene Intl.,11950,387.7
207,Abbott India,11924.12,881.49
208,Hatsun AgroProd.,11896.52,1012.94
209,Symphony,11882.55,217.63
210,Gujarat Gas,11759.77,1571.33
211,Reliance Infra.,11737.24,5861.04
212,Aditya Bir. Fas.,11718.17,1855
213,Ajanta Pharma,11651.8,587.05
214,P I Inds.,11564.22,537.74
215,City Union Bank,11554.4,865.36
216,Varun Beverages,11498.3,329.92
217,Mindtree,11438.78,1377.7
218,Prestige Estates,11353.13,1272.3
219,Future Consumer,11203.15,784.05
220,Sundram Fasten.,11202.53,848.13
221,Sanofi India,11182.45,667.5
222,Guj.St.Petronet,11064.74,350.18
223,Godrej Agrovet,10918.75,865.77
224,Finolex Cables,10900.75,656.78
225,Bombay Burmah,10864.53,1137.17
226,SRF,10842.62,1397.06
227,GE T&D India,10778.42,1438.55
228,Alembic Pharma,10764.29,840.02
229,SPARC,10755.13,19.42
230,GMR Infra.,10653.44,2072.29
231,HEG,10630.76,842.71
232,Trent,10589.27,521.32
233,Engineers India,10565.56,473.42
234,Avanti Feeds,10558.13,706.43
235,Pfizer,10508.48,456.54
236,Escorts,10450.56,1205.03
237,Tata Motors-DVR,10442.09,7769.67
238,Blue Dart Exp.,10422.45,704.59
239,Indbull.RealEst.,10338.4,2100.13
240,ERIS Lifescience,10289.81,182.21
241,Arvind Ltd,10247.7,2705.75
242,Sundaram Clayton,10074.36,1137.17
243,Hexaware Tech.,9885.05,1004.83
244,Mahanagar Gas,9885.05,1137.17
245,SKF India,9569.14,700.49
246,Delta Corp,9531.57,162.17
247,Union Bank (I),9528.82,8260.47
248,TV18 Broadcast,9463.27,271.13
249,Minda Inds.,9457.04,1056.16
250,Solar Inds.,9317.76,465.68
251,Kajaria Ceramics,9306.54,661.16
252,Astral Poly,9162.14,528.54
253,Bata India,9145.38,674
254,Phoenix Mills,9097.33,416.61
255,BASF India,8778.35,1278.74
256,DCM Shriram,8681.95,1783.73
257,Infibeam Incorp.,8646.54,213.48
258,Aegis Logistics,8613.86,1442.08
259,Mahindra CIE,8587.04,1137.17
260,Jet Airways,8539.88,6086.2
261,SpiceJet,8458.24,2081.95
262,Thomas Cook (I),8440.65,3005.45
263,Guj Fluorochem,8439.77,968.97
264,Wockhardt,8428.58,1005.3
265,Akzo Nobel,8389.47,711.99
266,I D F C,8380.86,2789.58
267,Security & Intel,8247.08,1537.72
268,Asahi India Glas,8183.96,640.38
269,TTK Prestige,8153.33,457.97
270,ITI,8124.6,250.97
271,Karur Vysya Bank,8065.7,1422.32
272,Vardhman Textile,8023.74,1647.98
273,Fortis Health.,7966.43,1156.61
274,Ipca Labs.,7943.03,859.21
275,Sheela Foam,7815.74,532.21
276,IRB Infra.Devl.,7812.73,1296.19
277,Atul,7789.01,803.68
278,Finolex Inds.,7784.17,722.72
279,Dish TV,7765.91,740.77
280,Rel. Comm.,7702.01,1144
281,Dr Lal Pathlabs,7550.78,262.7
282,OCL India,7453.05,859.24
283,NCC,7439.01,2780.26
284,Relaxo Footwear,7251.91,457.5
285,J K Cements,7230.76,1126.11
286,G N F C,7208.38,1590.89
287,Cochin Shipyard,7154.99,615.04
288,Bajaj Corp,9885.05,1137.17
289,Birla Corpn.,7137.67,1389.32
290,Future Lifestyle,7009.13,1188.97
291,Century Ply.,6966.23,509.93
292,Blue Star,6952.99,981.3
293,Kalpataru Power,6950.23,1417.37
294,Suzlon Energy,6942.31,1193.06
295,Cyient,6921.97,983.3
296,Hind.Copper,6902.14,440.14
297,Guj Pipavav Port,6864.85,162.68
298,Carborundum Uni.,6838.18,611.59
299,Can Fin Homes,6811.5,392.1
300,Sadbhav Engg.,6795.06,2153.34
301,Advanta,6742.41,361.68
302,Capital First,6710.63,987.64
303,Lak. Mach. Works,6654.81,542.42
304,Himadri Specialt,6646.41,500.08
305,Coffee Day Enter,6601.62,965.3
306,PVR,6591.31,557.25
307,Chambal Fert.,6542.79,2330.1
308,Vijaya Bank,6531.58,3135.23
309,Welspun India,6520.67,1397.95
310,CEAT,6476.26,1574.15
311,Strides Shasun,6469.51,749.04
312,Narayana Hrudaya,6379.12,553.84
313,Jyothy Lab.,6324.62,431.21
314,Johnson Con. Hit,6209.11,377.4
315,Prism Cement,6176.23,1137.17
316,Tata Elxsi,6153.54,345.54
317,Syndicate Bank,6086.37,5375.57
318,D B Corp,6059.97,598.58
319,Jain Irrigation,6019.89,1889.63
320,Persistent Sys,5996.4,791.89
321,Redington India,5896.54,11728.4
322,Sunteck Realty,5865.04,201.5
323,Raymond,5863.1,1484.24
324,MOIL,5840.29,299.8
325,Bombay Dyeing,5823.25,619.93
326,GE Shipping Co,5802.66,584.42
327,Grindwell Norton,5706.51,365.42
328,EID Parry,5652.33,3557.94
329,I O B,5591.02,4254.68
330,Galaxy Surfact.,5567.11,826.95
331,Laurus Labs,5502.94,473.77
332,Guj Alkalies,5498.45,617.61
333,GE Power,5497.4,1137.17
334,Timken India,5495.76,278.58
335,C P C L,5427.82,8587.17
336,Dishman Carbogen,5416.39,459.82
337,St Bk of Bikaner,5402.95,2262.28
338,ISGEC Heavy,9885.05,1137.17
339,MMTC,5300,1137.17
340,IFB Inds.,5293.53,531.74
341,eClerx Services,5259.14,339.89
342,Sobha,5224.11,691.9
343,Kirloskar Oil,5207.77,684.61
344,G S F C,5200.13,1537.45
345,CG Power & Indu.,5151.85,1516.08
346,Westlife Develop,5145.88,305.19
347,K P R Mill Ltd,5145.36,714.51
348,Tube Investments,5139.43,1274.21
349,Bajaj Electrical,5127.38,1145.13
350,VST Inds.,5109.25,238.97
351,BEML Ltd,5089.87,731.51
352,FDC,5084.19,248.77
353,DCB Bank,5080.5,610.78
354,Star Cement,5072.67,377.43
355,Netwrk.18 Media,5067.23,366.02
356,Gulf Oil Lubric.,5020.44,355.95
357,UCO Bank,5012.59,3449.55
358,Jagran Prakashan,4995.05,598.07
359,Elgi Equipment,4954.08,415.42
360,JK Lakshmi Cem.,4931.55,837.41
361,Zydus Wellness,4921.45,132.4
362,Equitas Holdings,4886.09,429.86
363,India Cements,4885.75,1213.08
364,Dishman Pharma.,4861.2,534.22
365,South Ind.Bank,4856.71,1576.96
366,Polaris Consulta,4830.44,680.07
367,V I P Inds.,4819.63,337.99
368,APL Apollo,4775.03,1314.38
369,Sadbhav Infra.,4735.67,624.37
370,Jindal Stain.,4726.91,2988.86
371,Swan Energy,4721.49,1137.17
372,NIIT Tech.,4658.2,756.5
373,Caplin Point Lab,4600.73,141.61
374,Indian Energy Ex,4595.7,64.75
375,Shoppers St.,4558.06,1137.17
376,Godfrey Phillips,4512.29,581.94
377,Jindal Stain .Hi,4498.09,2438.58
378,R C F,4493.52,1985.06
379,Rallis India,4493.2,390.16
380,Stand.Chart.PLC,4487.31,1137.17
381,G M D C,4456.77,506.06
382,Manpasand Bever.,4406.8,143.13
383,Tata Inv.Corpn.,4401.66,47.02
384,Essel Propack,4371.24,595.05
385,Allcargo Logist.,4369.69,1479.91
386,Radico Khaitan,4358.48,482.52
387,Cera Sanitary.,4356.9,290.88
388,BSE,9885.05,1137.17
389,Forbes & Co,4331.82,63.93
390,S B T,4328.47,2365.94
391,KNR Construct.,4325.39,433.19
392,PNC Infratech,4307.29,472.48
393,Greenply Inds.,4295.02,399.29
394,Ujjivan Fin.Ser.,4293.42,0
395,Monsanto India,4291.43,183.74
396,Vinati Organics,4279.07,185.65
397,Jindal Saw,4278.31,1137.17
398,Lux Industries,4269.78,297.43
399,Linde India,4198.33,1137.17
400,Ratnamani Metals,4194.31,535.6
401,Cox & Kings,4179.29,1356.07
402,Omaxe,4168.29,506.82
403,Ashoka Buildcon,4166.87,729.22
404,Time Technoplast,4156.58,754.7
405,Phillips Carbon,4149.67,612.4
406,Allahabad Bank,4137.11,4243.83
407,Welspun Corp,4103.05,2304.16
408,NESCO,4093.02,80.62
409,CARE Ratings,4090.69,74.82
410,JP Associates,4074.37,1137.17
411,Andhra Bank,4067.25,4549.26
412,Zensar Tech.,4066.42,793.76
413,S H Kelkar & Co.,4057.34,283.12
414,Mahindra Holiday,4030.35,267.54
415,Sintex Plastics,4022.02,1332.73
416,SREI Infra. Fin.,4009.63,1405.19
417,Techno Elec.,3975.44,275.64
418,Minda Corp,3974.83,636.2
419,HMT,3973.5,1137.17
420,KPIT Tech.,3927.26,912.77
421,Triveni Turbine,3910.17,165.59
422,Shankara Build.,3901.07,624.62
423,Multi Comm. Exc.,3847.19,60.97
424,Brigade Enterpr.,3846.15,423.91
425,Gayatri Projects,3835.73,1137.17
426,Magma Fincorp,3826.83,580.58
427,VRL Logistics,3824.69,489.34
428,ICRA,3809,82.87
429,Shriram Pistons,3804.58,430.8
430,IFCI,3789.45,626.8
431,Suprajit Engg.,3777.26,366.29
432,J & K Bank,3775.5,1682.97
433,Navin Fluo.Intl.,3769.26,221.45
434,Karnataka Bank,3765.74,1332.24
435,Shilpa Medicare,3764.1,185.53
436,Kushal,3761.86,578.18
437,Venky's (India),3760.61,695.85
438,Force Motors,9885.05,1137.17
439,CCL Products,3748.73,273.99
440,Excel Crop Care,3734.06,258.65
441,Trident,3722.6,1137.17
442,Corporation Bank,3716.46,4387.85
443,Rane Holdings,3711.8,593.74
444,Team Lease Serv.,3677.34,918.06
445,Oriental Bank,3674.6,4262.08
446,I T D C,3619.04,102.14
447,JP Power Ven.,3597.6,1137.17
448,S C I,3582,879.56
449,JK Tyre & Indust,3577.98,2123.24
450,Deepak Nitrite,3531.9,371.14
451,Heidelberg Cem.,3531.77,491.23
452,Amber Enterp.,3529.87,1137.17
453,Sharda Cropchem,3528.07,325.46
454,Dixon Technolog.,3526.8,677.8
455,Himatsing. Seide,3511.08,595.61
456,La Opala RG,3510.93,69.77
457,H F C L,3482.71,714.42
458,Reliance Home,3470.6,403
459,Rupa & Co,3460.91,277.96
460,Hind.Construct.,3452.57,1137.17
461,Ent.Network,3380.99,148.42
462,Supreme Petroch.,3377.57,725.02
463,MAS FINANC SER,3376.2,112.05
464,Thyrocare Tech.,3374.38,77.84
465,Prakash Inds.,3336.05,725.97
466,Repco Home Fin,3331.08,277.48
467,Sonata Software,3329.58,766.75
468,Central Dep. Ser,3316.31,47.24
469,Puravankara,3274.9,440.09
470,Tejas Networks,3209.89,229.87
471,ITD Cem,3192.67,472.98
472,Hathway Cable,3189.1,138.65
473,Dhanuka Agritech,3188.62,221.51
474,Mahindra Logis.,3187.51,835.06
475,Heritage Foods,3185.45,581.74
476,Mah. Seamless,3164.73,563.66
477,Navneet Educat.,3148.36,174.41
478,Firstsour.Solu.,3139.94,887.24
479,Kaveri Seed Co.,3125.83,70.64
480,Star Ferro Cem.,3115.98,393.49
481,Deepak Fert.,3079.06,1644.92
482,Va Tech Wabag,3041.93,460.89
483,Prime Focus,3031.5,609.61
484,Lak. Vilas Bank,3029.57,790.17
485,NOCIL,3026.26,249.27
486,Orient Cement,3024.32,511.53
487,Natl.Fertilizer,3017.07,2840.75
488,L T Foods,9885.05,1137.17
,,,1137.17
